LLM,Total Codes,Correctness Rate (%),Avg Complexity,Total Complexity,Avg Maintainability Index,Avg LOC,Total LOC,Total LLOC,Total SLOC,Total Comments,Total Blank,Total Functions,Grade A,Grade B,Grade C,Grade D,Grade E,Grade F
DeepSeek-R1-Lite-Preview (hard),237,28.27,13.41,2991,62.53,51.48,11532,9173,9035,1172,1449,364,71,92,62,10,1,1
DeepSeek-R1-Preview,878,78.59,14.02,8555,65.44,32.73,28444,23638,23367,1915,3437,1155,474,211,163,22,6,2
DeepSeek-R1-Preview (easy),279,99.28,9.16,1117,73.41,12.12,3368,2948,2931,171,285,241,237,38,4,0,0,0
DeepSeek-R1-Preview (medium),331,84.89,14.15,3565,64.75,31.54,10314,8517,8409,702,1298,465,156,105,62,6,1,1
DeepSeek-R1-Preview (hard),268,49.25,16.41,3873,57.92,55.92,14762,12173,12027,1042,1854,449,81,68,97,16,5,1
DeepSeek-V3,961,54.63,11.94,9386,75.06,33.99,32327,22705,22359,6040,4065,1295,471,326,129,28,7,0
DeepSeek-V3 (easy),309,86.41,9.33,1652,80.97,16.95,5220,4033,3970,771,501,317,240,57,11,1,0,0
DeepSeek-V3 (medium),353,57.22,12.56,4144,74.05,34.47,12100,8503,8391,2194,1572,553,129,158,52,11,3,0
DeepSeek-V3 (hard),299,18.73,12.87,3590,70.06,51.39,15007,10169,9998,3075,1992,425,102,111,66,16,4,0
DeepSeek-V3 copy,856,56.89,10.82,7857,75.52,32.96,28148,19536,19235,5353,3649,1171,421,297,116,17,4,1
DeepSeek-V3 copy (easy),279,88.89,8.57,1363,82.21,16.18,4499,3419,3355,691,462,281,221,51,6,1,0,0
DeepSeek-V3 copy (medium),322,59.01,11.21,3508,73.89,32.55,10450,7377,7275,1876,1343,512,119,144,52,5,2,0
DeepSeek-V3 copy (hard),255,19.22,11.76,2986,70.29,51.76,13199,8740,8605,2786,1844,378,81,102,58,11,2,1
EXAONE-4.0-32B,1052,81.37,13.46,13059,53.47,36.52,35933,31226,30907,27,5015,1561,446,321,199,53,23,10
EXAONE-4.0-32B (easy),322,98.76,6.53,1984,64.19,15.81,4963,4371,4339,7,622,439,233,79,9,1,0,0
EXAONE-4.0-32B (medium),382,88.48,13.84,5039,52.98,33.57,12286,10594,10488,17,1792,609,128,153,82,13,5,1
EXAONE-4.0-32B (hard),348,57.47,19.99,6036,42.95,61.46,18684,16261,16080,3,2601,513,85,89,108,39,18,9
GPT-4-0613,713,34.08,9.5,4359,64.98,15.31,10748,10003,9853,102,799,804,499,173,38,2,0,1
GPT-4-0613 (easy),238,74.37,8.5,910,73.64,9,2141,2019,1974,51,116,209,206,30,2,0,0,0
GPT-4-0613 (medium),279,22.58,9.58,1974,62.76,15.62,4312,4001,3956,30,332,363,183,77,19,0,0,0
GPT-4-0613 (hard),196,1.53,10.1,1475,57.25,22.85,4295,3983,3923,21,351,232,110,66,17,2,0,1
GPT-4-Turbo-1106,713,37.45,8.46,4789,81.27,22.59,16040,10605,10484,3045,2607,1032,496,193,23,0,1,0
GPT-4-Turbo-1106 (easy),238,78.57,7.32,1017,86.95,14.13,3363,2161,2135,715,527,247,209,27,2,0,0,0
GPT-4-Turbo-1106 (medium),279,26.16,8.99,2284,80.47,23.66,6601,4304,4266,1325,1058,452,168,96,15,0,0,0
GPT-4-Turbo-1106 (hard),196,3.57,8.6,1488,75.43,31.48,6076,4140,4083,1005,1022,333,119,70,6,0,1,0
GPT-4-Turbo-2024-04-09,1055,37.35,9.14,8754,76.17,33.11,33604,22997,22541,5377,6086,1492,574,361,113,5,2,0
GPT-4-Turbo-2024-04-09 (easy),322,81.68,6.95,1966,78.1,19.51,6262,4573,4482,766,1059,426,236,76,10,0,0,0
GPT-4-Turbo-2024-04-09 (medium),383,30.81,10.54,3879,76.76,32.91,12341,8352,8190,2028,2286,604,167,161,53,2,0,0
GPT-4-Turbo-2024-04-09 (hard),350,3.71,9.48,2909,73.54,47.03,15001,10072,9869,2583,2741,462,171,124,50,3,2,0
GPT-4O-2024-05-13,880,44.09,8.25,6386,74.53,26.23,22560,16795,16406,2119,4139,1268,572,260,42,6,0,0
GPT-4O-2024-05-13 (easy),279,88.53,6.83,1449,80.45,17.39,4834,3559,3475,530,843,338,228,48,2,1,0,0
GPT-4O-2024-05-13 (medium),331,38.07,8.99,2859,73.5,26.25,8559,6312,6167,850,1598,531,188,123,17,3,0,0
GPT-4O-2024-05-13 (hard),270,5.56,8.52,2078,69.39,35.81,9167,6924,6764,739,1698,399,156,89,23,2,0,0
GPT-4O-2024-08-06,1047,38.4,8.03,8161,80.53,30.78,31268,21179,20774,4986,5739,1571,621,351,71,4,0,0
GPT-4O-2024-08-06 (easy),322,84.47,6.12,1923,85.65,20.84,6544,4346,4272,1163,1143,465,245,72,4,1,0,0
GPT-4O-2024-08-06 (medium),383,30.29,9.21,3481,81.49,30.58,11560,7656,7486,2052,2134,619,198,152,31,2,0,0
GPT-4O-2024-08-06 (hard),342,4.09,8.51,2757,74.44,40.63,13164,9177,9016,1771,2462,487,178,127,36,1,0,0
GPT-4O-mini-2024-07-18,1054,35.2,8.54,8241,79.03,28.91,28621,19409,19016,4637,5778,1585,629,342,77,6,0,0
GPT-4O-mini-2024-07-18 (easy),322,81.99,6.44,1873,83.57,18.52,5852,4092,4027,913,1079,438,244,72,5,1,0,0
GPT-4O-mini-2024-07-18 (medium),382,23.56,9.59,3510,78.34,29.22,10694,7210,7073,1796,2168,614,199,138,42,3,0,0
GPT-4O-mini-2024-07-18 (hard),350,4.86,9.28,2858,75.18,39.2,12075,8107,7916,1928,2531,533,186,132,30,2,0,0
Gemini-2.5-Flash-04-17,1033,76.67,12.73,9716,70.29,71.01,71934,28525,27977,32148,12056,1589,606,268,127,26,4,2
Gemini-2.5-Flash-04-17 (easy),321,98.75,8.22,1332,78.53,37.36,11918,4148,4046,5568,1934,300,274,43,3,1,0,0
Gemini-2.5-Flash-04-17 (medium),377,82.49,11.84,3634,67.4,69.84,25910,9327,9166,12234,4235,573,203,123,45,6,0,0
Gemini-2.5-Flash-04-17 (hard),335,48.96,16.16,4750,65.44,105.59,34106,15050,14765,14346,5887,716,129,102,79,19,4,2
Gemini-2.5-Flash-05-20,1053,76.35,11.75,8851,77.43,59.45,48808,20991,20872,19713,8836,1406,653,268,108,18,5,1
Gemini-2.5-Flash-05-20 (easy),322,99.07,7.16,1653,83.92,33.17,9751,3969,3909,3881,1750,377,255,60,7,0,0,0
Gemini-2.5-Flash-05-20 (medium),383,82.51,12.11,3766,75.51,60.8,18971,7906,7864,7986,3342,584,197,136,43,6,1,0
Gemini-2.5-Flash-05-20 (hard),348,48.56,16.27,3432,71.33,93.42,20086,9116,9099,7846,3744,445,201,72,58,12,4,1
Gemini-2.5-Pro-03-25,1042,82.53,12.74,11887,61.43,94.04,94421,33134,31435,39761,15767,1752,495,319,178,38,8,4
Gemini-2.5-Pro-03-25 (easy),320,99.06,7.06,1764,68.45,52.06,16555,4815,4513,6916,2783,397,247,68,5,0,0,0
Gemini-2.5-Pro-03-25 (medium),379,90.5,12.29,4509,57.39,94.14,34832,10985,10391,14745,5706,664,154,148,67,9,1,0
Gemini-2.5-Pro-03-25 (hard),343,58.31,17.77,5614,59.11,136.18,43034,17334,16531,18100,7278,691,94,103,106,29,7,4
Gemini-2.5-Pro-05-06,1054,82.83,13.08,9951,76.01,60.53,52536,24840,24583,20419,9809,1399,617,255,145,23,8,6
Gemini-2.5-Pro-05-06 (easy),322,98.76,7.48,1555,82.33,32.97,10188,3888,3848,4639,1751,353,263,56,3,0,0,0
Gemini-2.5-Pro-05-06 (medium),383,90.6,12.39,3853,74.48,61.91,19564,8499,8438,8164,3586,575,200,123,54,5,1,0
Gemini-2.5-Pro-05-06 (hard),349,59.6,18.77,4543,69.96,93.76,22784,12453,12297,7616,4472,471,154,76,88,18,7,6
Gemini-2.5-Pro-06-05,1055,84.27,11.44,11216,76.51,60.28,61549,31042,29559,16300,11090,1570,501,329,170,40,11,4
Gemini-2.5-Pro-06-05 (easy),322,99.07,6.17,1815,81.85,34.76,11122,4371,4071,3840,1901,431,244,75,3,0,0,0
Gemini-2.5-Pro-06-05 (medium),383,92.17,11.22,4074,77.63,56.88,21215,9692,9300,6364,3909,588,159,153,66,3,2,0
Gemini-2.5-Pro-06-05 (hard),350,62,16.49,5327,70.03,89.06,29212,16979,16188,6096,5280,551,98,101,101,37,9,4
Gemini-Exp-1206,795,55.09,9.27,6385,59.79,22.2,17648,15115,14983,26,2644,1072,472,234,79,6,3,1
Gemini-Exp-1206 (easy),276,92.03,7.98,1461,66.11,13.19,3641,3311,3253,2,388,299,213,55,7,0,1,0
Gemini-Exp-1206 (medium),302,48.68,10.36,3036,57.87,23.86,7206,6153,6123,14,1070,473,143,114,40,3,2,0
Gemini-Exp-1206 (hard),217,17.05,8.86,1888,54.43,31.34,6801,5651,5607,10,1186,300,116,65,32,3,0,1
Gemini-Flash-1.5-002,848,37.5,10.93,5772,66.34,22.6,19161,16330,16124,483,2604,916,562,209,71,5,1,0
Gemini-Flash-1.5-002 (easy),279,82.8,10.47,1361,73.71,14.18,3956,3521,3469,150,344,248,220,53,5,0,1,0
Gemini-Flash-1.5-002 (medium),320,23.44,11.85,2655,63.42,23.98,7673,6562,6484,171,1033,401,195,88,34,3,0,0
Gemini-Flash-1.5-002 (hard),249,4.82,10.09,1756,61.82,30.25,7532,6247,6171,162,1227,267,147,68,32,2,0,0
Gemini-Flash-2.0-Exp,1005,43.88,9.46,8152,60.53,35.05,35221,21242,21021,255,13961,1313,583,322,80,14,1,5
Gemini-Flash-2.0-Exp (easy),321,91.28,9.05,1720,66.66,13.62,4371,3860,3795,21,558,326,245,65,10,0,1,0
Gemini-Flash-2.0-Exp (medium),361,33.52,10.58,3702,59.36,26.51,9569,7832,7789,115,1674,554,168,142,39,10,0,2
Gemini-Flash-2.0-Exp (hard),323,8.36,8.48,2730,55.75,65.89,21281,9550,9437,119,11729,433,170,115,31,4,0,3
Gemini-Flash-2.0-Exp (N=10),777,47.23,9.21,6445,60.73,22.42,17422,14495,14316,90,3036,1068,416,282,71,7,0,1
Gemini-Flash-2.0-Exp (N=10) (easy),273,91.21,7.98,1588,66.58,13.95,3807,3357,3307,19,484,317,199,70,3,0,0,1
Gemini-Flash-2.0-Exp (N=10) (medium),286,33.57,10.63,3019,58.62,24.21,6925,5741,5682,39,1209,453,109,131,42,4,0,0
Gemini-Flash-2.0-Exp (N=10) (hard),218,10.09,8.47,1838,56.19,30.69,6690,5397,5327,32,1343,298,108,81,26,3,0,0
Gemini-Flash-2.0-Thinking,848,52,10.47,7853,62.27,27.58,23385,19119,18901,550,4074,1175,439,285,104,14,3,3
Gemini-Flash-2.0-Thinking (easy),279,94.98,8.65,1634,68.27,15.51,4326,3670,3610,90,644,311,197,72,10,0,0,0
Gemini-Flash-2.0-Thinking (medium),325,44,11.62,3717,61.5,28.4,9230,7524,7454,239,1588,513,132,130,54,7,2,0
Gemini-Flash-2.0-Thinking (hard),244,13.52,10.38,2502,56.43,40.28,9829,7925,7837,221,1842,351,110,83,40,7,1,3
Gemini-Flash-2.0-Thinking-01-21,1021,57.59,11.42,10430,60.42,37.49,37937,27531,27181,5509,5547,1496,493,337,158,20,8,5
Gemini-Flash-2.0-Thinking-01-21 (easy),322,98.14,8.5,2015,67.95,18.7,6002,4620,4564,708,717,382,222,84,14,1,1,0
Gemini-Flash-2.0-Thinking-01-21 (medium),376,52.93,11.62,4240,58.94,36.24,13627,10070,9942,1877,1885,613,151,145,73,5,1,1
Gemini-Flash-2.0-Thinking-01-21 (hard),323,22.6,13.42,4175,54.51,58.12,18308,12841,12675,2924,2945,501,120,108,71,14,6,4
Gemini-Flash-2.0-Thinking-12-19,1029,57.92,11.9,10849,59.86,38.3,39023,28049,27666,5971,5652,1480,474,344,161,35,11,4
Gemini-Flash-2.0-Thinking-12-19 (easy),321,97.82,8.56,2019,67.24,19.07,6122,4602,4535,779,751,374,221,86,11,2,1,0
Gemini-Flash-2.0-Thinking-12-19 (medium),377,55.7,13.09,4699,57.7,37.27,13864,10208,10086,1992,1835,588,145,137,76,13,5,1
Gemini-Flash-2.0-Thinking-12-19 (hard),331,21.75,13.03,4131,55.02,58.4,19037,13239,13045,3200,3066,518,108,121,74,20,5,3
Gemini-Pro-1.5-002,860,42.91,10.55,7430,65.46,24.1,20725,17224,17028,428,3281,1100,469,271,103,12,2,3
Gemini-Pro-1.5-002 (easy),278,87.41,9.5,1463,74.52,14.26,3964,3425,3372,144,450,273,216,53,8,0,0,1
Gemini-Pro-1.5-002 (medium),327,30.89,11.28,3396,62.55,24.58,8039,6763,6686,145,1211,487,143,132,43,7,2,0
Gemini-Pro-1.5-002 (hard),255,9.8,10.33,2571,59.32,34.2,8722,7036,6970,139,1620,340,110,86,52,5,0,2
Grok-3-Mini (High),966,83.33,12.99,7090,74.01,34.78,33391,25541,25268,5677,3964,1086,681,184,86,13,1,1
Grok-3-Mini (High) (easy),322,98.14,8.93,1224,81.38,15.03,4839,3600,3545,875,573,272,275,44,3,0,0,0
Grok-3-Mini (High) (medium),376,87.23,13.54,3237,72.87,34.23,12767,9657,9576,2231,1560,465,236,94,40,6,0,0
Grok-3-Mini (High) (hard),268,60.07,15.46,2629,66.48,59.57,15785,12284,12147,2571,1831,349,170,46,43,7,1,1
Kimi-k1.6-IOI,871,83.12,13.58,8217,65.53,30.51,25777,21708,21432,1587,3098,1098,490,212,135,26,5,3
Kimi-k1.6-IOI (easy),279,98.92,9.11,1112,73.71,11.39,3144,2806,2772,165,232,240,237,40,2,0,0,0
Kimi-k1.6-IOI (medium),330,90,13.27,3437,64.77,29.32,9411,7844,7761,601,1176,457,166,97,60,5,2,0
Kimi-k1.6-IOI (hard),262,57.63,16.38,3668,57.41,53.31,13222,11058,10899,821,1690,401,87,75,73,21,3,3
Kimi-k1.6-IOI-high,880,86.02,13.21,8521,65.32,31.89,27551,22877,22584,1929,3368,1159,479,219,151,23,7,1
Kimi-k1.6-IOI-high (easy),279,99.28,8.94,1117,73.8,11.64,3235,2876,2834,164,262,243,236,40,3,0,0,0
Kimi-k1.6-IOI-high (medium),331,93.96,12.87,3552,64.5,29.69,9678,8058,7968,628,1213,482,155,108,62,5,1,0
Kimi-k1.6-IOI-high (hard),270,62.59,15.79,3852,57.29,56.3,14638,11943,11782,1137,1893,434,88,71,86,18,6,1
LLama3.3-70b-Ins,707,36.35,8.82,5760,77.07,27.27,19087,12470,11995,2498,3473,1253,441,215,47,4,0,0
LLama3.3-70b-Ins (easy),238,83.61,7.41,1416,85.97,20.99,4995,2870,2744,929,960,328,184,48,4,2,0,0
LLama3.3-70b-Ins (medium),278,18.35,9.49,2639,75.19,28.21,7842,5117,4941,1025,1431,529,148,105,24,1,0,0
LLama3.3-70b-Ins (hard),191,3.66,9.27,1705,68.4,33.97,6250,4483,4310,544,1082,396,109,62,19,1,0,0
Llama-3_1-Nemotron-Nano-8B-v1,33,78.79,10.19,275,64.49,20.9,627,553,548,26,59,50,17,15,1,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (easy),14,100,8.91,98,66.8,14.43,202,181,179,7,19,21,9,5,0,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (medium),17,64.71,14.57,204,67.64,25.64,359,314,311,33,27,32,6,9,2,0,0,0
Llama-3_1-Nemotron-Nano-8B-v1 (hard),24,41.67,16.61,299,59.19,40.39,727,611,604,41,90,38,12,6,5,1,0,0
Llama-3_1-Nemotron-Ultra-253B-v1,880,77.73,14.13,8110,63.12,30.12,26115,22377,22102,1180,2980,1112,504,219,127,24,6,0
Llama-3_1-Nemotron-Ultra-253B-v1 (easy),279,98.57,9.57,1167,72.4,12.07,3367,2978,2951,129,295,240,234,40,5,0,0,0
Llama-3_1-Nemotron-Ultra-253B-v1 (medium),331,82.48,13.99,3273,61.7,28.65,9368,7961,7890,410,1120,453,174,104,48,5,0,0
Llama-3_1-Nemotron-Ultra-253B-v1 (hard),270,50.37,16.83,3670,55,51.26,13380,11438,11261,641,1565,419,96,75,74,19,6,0
MetaStone-L1-7B,862,55.57,12.03,7374,63.57,31.06,26434,22252,21947,1328,3347,1034,459,250,132,15,6,0
MetaStone-L1-7B (easy),278,90.29,9.4,1138,71.01,12.96,3604,3244,3195,134,292,235,229,46,3,0,0,0
MetaStone-L1-7B (medium),324,54.01,12.34,3220,62.44,31.6,10145,8521,8413,536,1266,435,146,114,60,2,2,0
MetaStone-L1-7B (hard),260,20.38,13.06,3016,56.76,50.34,12685,10487,10339,658,1789,364,84,90,69,13,4,0
Mistral-Large,880,37.27,9.17,6348,71.65,28.42,23218,17101,16717,1999,4585,1245,573,250,54,2,1,0
Mistral-Large (easy),279,80.65,7.41,1349,77.57,18.83,4876,3508,3412,494,1000,326,229,46,4,0,0,0
Mistral-Large (medium),331,27.19,9.55,2789,71.86,28.17,8901,6508,6360,838,1740,527,196,113,21,1,0,0
Mistral-Large (hard),270,4.81,10.14,2210,64.98,39.01,9441,7085,6945,667,1845,392,148,91,29,1,1,0
O1-2024-12-17 (High),877,83.47,10.21,8279,77.44,52.25,42430,23240,22624,12538,5921,1210,484,236,127,21,7,2
O1-2024-12-17 (High) (easy),279,98.21,5.79,1597,84.21,17.41,4804,3420,3310,807,752,394,224,50,5,0,0,0
O1-2024-12-17 (High) (medium),331,89.73,11.21,3487,78.34,45.42,14125,8197,7987,3245,2234,497,158,112,54,5,1,1
O1-2024-12-17 (High) (hard),267,60.3,14.26,3195,67.84,104.45,23501,11623,11327,8486,2935,319,102,74,68,16,6,1
O1-2024-12-17 (Low),880,75.91,10.27,8286,77.65,56.44,46165,22598,21841,16027,6198,1198,481,239,137,16,4,3
O1-2024-12-17 (Low) (easy),279,98.57,5.81,1598,85.63,18.56,5105,3522,3377,940,837,393,216,60,3,0,0,0
O1-2024-12-17 (Low) (medium),331,83.38,11.03,3476,78.75,47.94,15196,8116,7873,4298,2301,499,157,109,59,4,2,0
O1-2024-12-17 (Low) (hard),270,43.33,14.8,3212,65.99,114.44,25864,10960,10591,10789,3060,306,108,70,75,12,2,3
O1-2024-12-17 (Low)_prompt_old,712,74.72,10.01,6624,77.84,54.07,35958,18012,17414,11742,4971,1185,392,221,80,16,2,1
O1-2024-12-17 (Low)_prompt_old (easy),238,97.9,6.1,1434,83.94,19.62,4611,3211,3079,785,797,414,189,46,2,1,0,0
O1-2024-12-17 (Low)_prompt_old (medium),279,78.85,11.08,2891,78.58,48.84,12844,6747,6528,3264,2018,486,131,107,33,8,0,0
O1-2024-12-17 (Low)_prompt_old (hard),195,40.51,13.85,2299,68.1,110.8,18503,8054,7807,7693,2156,285,72,68,45,7,2,1
O1-2024-12-17 (Med),878,78.47,10.62,8654,76.71,58,47382,23686,22942,15200,6328,1214,449,260,139,24,5,1
O1-2024-12-17 (Med) (easy),279,98.92,5.91,1643,84.24,18.16,5049,3542,3405,918,815,397,213,62,4,0,0,0
O1-2024-12-17 (Med) (medium),331,84.59,11.57,3609,77.83,48.81,15279,8579,8345,3893,2318,497,146,122,58,4,1,0
O1-2024-12-17 (Med) (hard),268,49.63,15.12,3402,65.9,119.71,27054,11565,11192,10389,3195,320,90,76,77,20,4,1
